date,news,what_it_affects,source,raw_text
2015-03-03,Inflation at 3.2pc in February,Inflation / CPI,https://www.dawn.com/news/1167006/inflation-at-32pc-in-february,"Business Inflation at 3.2pc in February Average inflation during the first eight months (July-Feb) of this fiscal year was 5.45pc. Updated 03 Mar, 2015 09:52am"
2015-03-03,PSO profit plunges 73pc  to Rs4.3bn  in July-Dec,Oil & Gas / Energy Sector,https://www.dawn.com/news/1167009/pso-profit-plunges-73pc-to-rs43bn-in-july-dec,"Business PSO profit plunges 73pc  to Rs4.3bn  in July-Dec The earnings reflected drop of 73 per cent from PAT at Rs15.8bn and eps at Rs58.15 in 1HFY14. Updated 03 Mar, 2015 09:46am"
2015-03-03,Rs1.6bn textile projects cleared,Textile Sector,https://www.dawn.com/news/1167005/rs16bn-textile-projects-cleared,"Business Rs1.6bn textile projects cleared Projects approved include establishment of garments city in Faisalabad and for Faisalabad Garment City Training Centre. Updated 03 Mar, 2015 09:56am"
2015-03-03,Stocks tumble 419 points on panic-selling,Stock Market (Direct),https://www.dawn.com/news/1167002/stocks-tumble-419-points-on-panic-selling,"Business Stocks tumble 419 points on panic-selling KSE-100 index took a steep plunge of 418.61 points or 1.24 per cent to close at 33,213.58 on Monday. Updated 03 Mar, 2015 09:59am"
2015-03-04,$3bn ADB funding for Pakistan,IMF / External Financing,https://www.dawn.com/news/1167213/3bn-adb-funding-for-pakistan,"Pakistan $3bn ADB funding for Pakistan Pakistan is likely to get over $1 billion a year for development projects during the three-year period (2015-17). Updated 04 Mar, 2015 07:49am"
2015-03-04,Cement firms post Rs13bn profit in Oct-Dec,Cement Sector,https://www.dawn.com/news/1167203/cement-firms-post-rs13bn-profit-in-oct-dec,"Business Cement firms post Rs13bn profit in Oct-Dec Cement companies posted a cumulative net profit at Rs12.7 billion in the second quarter (Oct-Dec) of this fiscal year. Updated 04 Mar, 2015 08:25am"
2015-03-04,"Gold above $1,200/oz",Currency / Exchange Rate,https://www.dawn.com/news/1167198/gold-above-1200oz,"Business Gold above $1,200/oz Gold steadied as the dollar eased against a basket of currencies, helping the metal to recover from early losses. Updated 04 Mar, 2015 08:35am"
2015-03-04,PSO imports 7pc less fuel for March-May,Current Account / Trade; Oil & Gas / Energy Sector,https://www.dawn.com/news/1167195/pso-imports-7pc-less-fuel-for-march-may,"Business PSO imports 7pc less fuel for March-May PSO bought 830,000 tonnes of fuel oil for delivery over March to May, 7 per cent lower than the same period last year. Updated 04 Mar, 2015 08:28am"
2015-03-04,Proper enforcement of tax laws stressed,Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1167211/proper-enforcement-of-tax-laws-stressed,"Business Proper enforcement of tax laws stressed If there is proper enforcement of tax laws, country’s revenues may be doubled, says chief of Tax Reforms Commission. Updated 04 Mar, 2015 08:15am"
2015-03-04,Steel melters seek raise in regulatory duty,Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1167192/steel-melters-seek-raise-in-regulatory-duty,"Business Steel melters seek raise in regulatory duty Pakistan Steel Melters Association seeks an increase in regulatory duty on steel items to 40 per cent from 15pc. Updated 04 Mar, 2015 08:38am"
2015-03-04,Stocks end in red amid foreign-selling,Stock Market (Direct),https://www.dawn.com/news/1167205/stocks-end-in-red-amid-foreign-selling,"Business Stocks end in red amid foreign-selling The stock market remained bearish as the KSE-100 index shed another 24.81 points, or 0.07pc, to close at 33,188.77. Updated 04 Mar, 2015 07:59am"
2015-03-05,Bulls stage comeback as index gains 54 points,Stock Market (Direct),https://www.dawn.com/news/1167398/bulls-stage-comeback-as-index-gains-54-points,"Business Bulls stage comeback as index gains 54 points The index had lost 3.67 per cent in the last seven sessions. Updated 05 Mar, 2015 08:22am"
2015-03-05,India makes another surprise interest rate cut to 7.5pc,Monetary Policy / Interest Rates,https://www.dawn.com/news/1167388/india-makes-another-surprise-interest-rate-cut-to-75pc,"Business India makes another surprise interest rate cut to 7.5pc The Reserve Bank of India (RBI) lowered the benchmark repo rate  by 25 basis points to 7.5pc with immediate effect. Updated 05 Mar, 2015 08:43am"
2015-03-05,"Pakistan’s energy crisis could topple government, warns expert",Political Stability / Government,https://www.dawn.com/news/1167563/pakistans-energy-crisis-could-topple-government-warns-expert,"Business Pakistan’s energy crisis could topple government, warns expert The PML-N govts's failure to stem the growing energy crisis now threatens to bring down the government. Updated 05 Mar, 2015 06:49pm"
2015-03-05,Power sector circular debt exaggerated to make case for tariff increase,Fiscal Policy / Budget / Taxes; Oil & Gas / Energy Sector,https://www.dawn.com/news/1167404/power-sector-circular-debt-exaggerated-to-make-case-for-tariff-increase,"Business Power sector circular debt exaggerated to make case for tariff increase The power sector receivables at Rs591 billion are reported to be ‘grossly overstated’ in a report. Updated 05 Mar, 2015 07:44am"
2015-03-05,Saudi Arabia sees stability in oil prices,Oil & Gas / Energy Sector,https://www.dawn.com/news/1167400/saudi-arabia-sees-stability-in-oil-prices,"Business Saudi Arabia sees stability in oil prices Saudi Arabia’s oil minister urged non-Opec producers to help balance the oil market. Updated 05 Mar, 2015 08:17am"
2015-03-05,World Bank admits flaws in resettlement practices,IMF / External Financing,https://www.dawn.com/news/1167397/world-bank-admits-flaws-in-resettlement-practices,"Business World Bank admits flaws in resettlement practices World Bank said internal reviews have revealed significant flaws in its ways of handling resettlement of people. Updated 05 Mar, 2015 08:36am"
2015-03-06,China eyes 7pc growth with higher spending,GDP / Economic Growth,https://www.dawn.com/news/1167662/china-eyes-7pc-growth-with-higher-spending,"Business China eyes 7pc growth with higher spending Chinese premier announced a growth target of 7pc for this year, below the 7.5pc goal that was narrowly missed in 2014 Updated 06 Mar, 2015 10:09am"
2015-03-06,LCCI urges FBR to accept refund claims,Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1167671/lcci-urges-fbr-to-accept-refund-claims,"Business LCCI urges FBR to accept refund claims Lahore RTO has not been accepting refund applications from five sectors since Oct 4, 2013, LCCI President said. Updated 06 Mar, 2015 10:01am"
2015-03-06,Record import of petrol,Current Account / Trade; Oil & Gas / Energy Sector,https://www.dawn.com/news/1167682/record-import-of-petrol,"Business Record import of petrol Petrol sales in February jumped to 451,888 tonnes from around 400,000 tonnes in January 2015. Updated 06 Mar, 2015 09:08am"
2015-03-06,Reserves rise to $16.14bn,Monetary Policy / Interest Rates,https://www.dawn.com/news/1167666/reserves-rise-to-1614bn,"Business Reserves rise to $16.14bn SBP reserves increased by $132 million to $11.207bn from $11.075bn. Updated 06 Mar, 2015 10:03am"
2015-03-06,SBP intervention keeps dollar below Rs102,Monetary Policy / Interest Rates; Currency / Exchange Rate,https://www.dawn.com/news/1167683/sbp-intervention-keeps-dollar-below-rs102,"Business SBP intervention keeps dollar below Rs102 Dealers believe currency rate will readjust, if the SBP allows the market to determine the exchange rate independently. Updated 06 Mar, 2015 08:59am"
2015-03-06,Stocks stage 126-point rally,Stock Market (Direct),https://www.dawn.com/news/1167677/stocks-stage-126-point-rally,"Business Stocks stage 126-point rally Stocks gathered momentum on Thursday, which saw KSE-100 index gain 125.89 points to close at 33,368.84. Updated 06 Mar, 2015 09:34am"
2015-03-07,Cement export fell by 5.52pc in July-Feb,Current Account / Trade; Cement Sector,https://www.dawn.com/news/1167905/cement-export-fell-by-552pc-in-july-feb,"Business Cement export fell by 5.52pc in July-Feb Cement sales posted a growth of 5.51 per cent at 22.78 million tonnes during the first eight months of this fiscal year. Updated 07 Mar, 2015 09:11am"
2015-03-07,Cotton prices rise,Current Account / Trade,https://www.dawn.com/news/1167897/cotton-prices-rise,"Business Cotton prices rise Higher demand for quality lint pushed prices up as spinners continued buying spree to meet their export commitments. Updated 07 Mar, 2015 09:27am"
2015-03-07,Profit-taking pulls index down by 105 points,Stock Market (Direct),https://www.dawn.com/news/1167902/profit-taking-pulls-index-down-by-105-points,"Business Profit-taking pulls index down by 105 points Stock market fails to sustain the rally witnessed a day ago as the KSE-100 index plunged 105.18 points to 33,263.66. Updated 07 Mar, 2015 09:23am"
2015-03-07,‘Auto industry should offer more choices’,Automobile Sector,https://www.dawn.com/news/1167906/auto-industry-should-offer-more-choices,"Business ‘Auto industry should offer more choices’ President calls upon automotive industry to offer more choices and quality products to consumers at affordable prices. Updated 07 Mar, 2015 08:54am"
2015-03-08,"At long last, Dow gets a taste for Apple",Global Markets / Fed,https://www.dawn.com/news/1168090/at-long-last-dow-gets-a-taste-for-apple,"World At long last, Dow gets a taste for Apple Apple Inc, the largest US company by market value, will join the Dow Jones industrial average, replacing AT&T Inc. Updated 09 Mar, 2015 07:18am"
2015-03-08,"Government moves to widen tax net, but big fish yet to be caught",Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1168177/government-moves-to-widen-tax-net-but-big-fish-yet-to-be-caught,"Pakistan Government moves to widen tax net, but big fish yet to be caught The government has begun chasing wealthy tax-dodgers but revenue officials face huge challenges. Published 08 Mar, 2015 09:48am"
2015-03-10,Carpet exporters slam 42.2pc Turkish duty,Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1168525/carpet-exporters-slam-422pc-turkish-duty,"Pakistan Carpet exporters slam 42.2pc Turkish duty Many orders cancelled following imposition of Safeguard Measures Duty by the Turkish govt on Pakistani products. Updated 10 Mar, 2015 08:32am"
2015-03-10,Gold rises,Currency / Exchange Rate,https://www.dawn.com/news/1168516/gold-rises,"Business Gold rises Gold edged higher on Monday as the dollar rally paused and European shares fell, but it remained near a three-month low. Updated 10 Mar, 2015 08:45am"
2015-03-10,Greece ‘wasting time’ in EU bailout talks,IMF / External Financing,https://www.dawn.com/news/1168522/greece-wasting-time-in-eu-bailout-talks,"Business Greece ‘wasting time’ in EU bailout talks European finance ministers urged Greece on Monday to stop wasting time in talks on its crucial bailout. Updated 10 Mar, 2015 08:51am"
2015-03-10,Obama’s pro-trade allies fight claims about China’s currency,Currency / Exchange Rate,https://www.dawn.com/news/1168519/obamas-pro-trade-allies-fight-claims-about-chinas-currency,"Business Obama’s pro-trade allies fight claims about China’s currency China isn’t a party to the pending 12-nation Trans-Pacific Partnership deal that Obama hopes to send Congress this year. Updated 10 Mar, 2015 08:57am"
2015-03-10,Stocks nosedive by 403 points on foreign selling,Stock Market (Direct),https://www.dawn.com/news/1168523/stocks-nosedive-by-403-points-on-foreign-selling,"Business Stocks nosedive by 403 points on foreign selling Stocks suffered heavy decline with the KSE-100  index posting a loss of 403.09 points, 1.21 per cent, to 32,860.57. Updated 10 Mar, 2015 08:40am"
2015-03-11,"Delay in signing of LNG deal to cost govt $272,000/day: Engro",Current Account / Trade; Oil & Gas / Energy Sector,https://www.dawn.com/news/1168742/delay-in-signing-of-lng-deal-to-cost-govt-272000day-engro,"Business Delay in signing of LNG deal to cost govt $272,000/day: Engro Engro’s $135 million LNG terminal ready to start up provided the government strikes liquefied gas import deal. Updated 11 Mar, 2015 11:07am"
2015-03-11,PSO ramps up fuel oil imports,Current Account / Trade; Oil & Gas / Energy Sector,https://www.dawn.com/news/1168737/pso-ramps-up-fuel-oil-imports,"Business PSO ramps up fuel oil imports PSO seeking up to 1.215 million tonnes of fuel oil ahead of summer, 75 per cent higher in monthly volumes. Updated 11 Mar, 2015 11:29am"
2015-03-11,Stocks lose another 294 points as gloom deepens,Stock Market (Direct),https://www.dawn.com/news/1168735/stocks-lose-another-294-points-as-gloom-deepens,"Business Stocks lose another 294 points as gloom deepens Stocks dived deeper into the red as the KSE-100 index was dragged down by 293.98 points, 0.89 per cent, to 32,566.59. Updated 11 Mar, 2015 11:28am"
2015-03-11,US commerce secretary rules out TIFA with Pakistan,Current Account / Trade,https://www.dawn.com/news/1168740/us-commerce-secretary-rules-out-tifa-with-pakistan,"Business US commerce secretary rules out TIFA with Pakistan Signing of TIFA on the backburner since US has become the largest export market for Pakistan with a volume of $3.7bn. Updated 11 Mar, 2015 11:23am"
2015-03-12,Bearish spell continues to haunt stock market,Stock Market (Direct),https://www.dawn.com/news/1168956/bearish-spell-continues-to-haunt-stock-market,"Business Bearish spell continues to haunt stock market Free fall in stock values came to a halt with KSE-100 index closing at a nominal loss of 26.98 points at 32,539.61. Updated 12 Mar, 2015 08:57am"
2015-03-12,Globalisation of yuan could impact  power of dollar,Currency / Exchange Rate,https://www.dawn.com/news/1168964/globalisation-of-yuan-could-impact-power-of-dollar,"Business Globalisation of yuan could impact  power of dollar With the creation of CIPS, America’s long reign of economic dominance is at risk. Updated 12 Mar, 2015 08:36am"
2015-03-12,IMF approves $17.5bn for Ukraine,IMF / External Financing,https://www.dawn.com/news/1168952/imf-approves-175bn-for-ukraine,"Business IMF approves $17.5bn for Ukraine The IMF loan is expected to unlock further credits from other donors. Updated 12 Mar, 2015 09:13am"
2015-03-12,Mechanism issued for sugar subsidy,Monetary Policy / Interest Rates; Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1168958/mechanism-issued-for-sugar-subsidy,"Business Mechanism issued for sugar subsidy SBP informed banks that ADs will forward the requests of sugar mills on prescribed format to FEOD. Updated 12 Mar, 2015 09:19am"
2015-03-12,SBP to fix paid-up capital,Monetary Policy / Interest Rates; Privatization / Divestment,https://www.dawn.com/news/1168963/sbp-to-fix-paid-up-capital,"Business SBP to fix paid-up capital Senate Standing Committee on Finance, Statistics and Privatisation approved Draft Credit Bureaus Act 2015. Updated 12 Mar, 2015 08:53am"
2015-03-12,Services’ export witnesses growth,Current Account / Trade,https://www.dawn.com/news/1168961/services-export-witnesses-growth,"Business Services’ export witnesses growth Export proceeds went up to $2.822bn in July-December 2014-15 from $2.427bn in the corresponding period of last year. Updated 12 Mar, 2015 08:48am"
2015-03-12,‘Pakistan loses Rs500bn annually in tax exemptions’,Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1169017/pakistan-loses-rs500bn-annually-in-tax-exemptions,"Pakistan ‘Pakistan loses Rs500bn annually in tax exemptions’ Consumption rate of richest 20 per cent Pakistanis is five times higher than that of the poorest 20 per cent. Updated 12 Mar, 2015 08:36am"
2015-03-13,China seeking yuan role in IMF reserve currency,Currency / Exchange Rate; IMF / External Financing,https://www.dawn.com/news/1169180/china-seeking-yuan-role-in-imf-reserve-currency,"Business China seeking yuan role in IMF reserve currency China is in talks with IMF for the Washington-based institution to add the yuan to its basket of reserve currencies. Updated 13 Mar, 2015 09:12am"
2015-03-13,Gold steadies,Currency / Exchange Rate,https://www.dawn.com/news/1169186/gold-steadies,"Business Gold steadies Gold steadied on Thursday as a retreat in the dollar from 12-year highs arrested its eight-session slide. Updated 13 Mar, 2015 09:14am"
2015-03-13,Pakistan signs agreement with Qatar for LNG import,Current Account / Trade; Oil & Gas / Energy Sector,https://www.dawn.com/news/1169331/pakistan-signs-agreement-with-qatar-for-lng-import,"World Pakistan signs agreement with Qatar for LNG import The first shipment of LNG will reach Pakistan by the end of March, the federal minister for petroleum said. Published 13 Mar, 2015 02:52pm"
2015-03-13,Range-bound equity market attempts recovery,Stock Market (Direct),https://www.dawn.com/news/1169199/range-bound-equity-market-attempts-recovery,"Business Range-bound equity market attempts recovery KSE 100-share index closed up by 43.07 points at 32,582.68 on Thursday. Updated 13 Mar, 2015 08:34am"
2015-03-13,SBP targets 50m mobile accounts by 2020,Monetary Policy / Interest Rates; IMF / External Financing,https://www.dawn.com/news/1169204/sbp-targets-50m-mobile-accounts-by-2020,"Business SBP targets 50m mobile accounts by 2020 SBP, in collaboration with the World Bank, has developed a strategy to achieve a many-fold surge in mobile-wallets. Updated 13 Mar, 2015 08:18am"
2015-03-14,Britain to join China-led Asian bank,IMF / External Financing,https://www.dawn.com/news/1169416/britain-to-join-china-led-asian-bank,"Business Britain to join China-led Asian bank Analysts have said AIIB could challenge the Western-dominated World Bank and Asian Development Bank. Updated 14 Mar, 2015 10:30am"
2015-03-14,Hungary keen on investing in energy sector,Oil & Gas / Energy Sector,https://www.dawn.com/news/1169414/hungary-keen-on-investing-in-energy-sector,"Business Hungary keen on investing in energy sector Hungary is considering investment in key energy projects in Pakistan, particularly solar and small hydropower plants. Updated 14 Mar, 2015 10:12am"
2015-03-14,India’s ‘tax terrorism’ proves hard habit to kick,Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1169404/indias-tax-terrorism-proves-hard-habit-to-kick,"Business India’s ‘tax terrorism’ proves hard habit to kick Political fallout at home may be less painful than enduring embarrassment abroad by pursuing companies like UK's Cairn. Updated 14 Mar, 2015 09:28am"
2015-03-14,Monetary policy keeps experts guessing,Monetary Policy / Interest Rates,https://www.dawn.com/news/1169400/monetary-policy-keeps-experts-guessing,"Business Monetary policy keeps experts guessing The monetary policy is awaited particularly by sections making a case for further cut in the interest rate. Updated 14 Mar, 2015 08:56am"
2015-03-14,Russia cuts interest rate to 14pc,Monetary Policy / Interest Rates,https://www.dawn.com/news/1169420/russia-cuts-interest-rate-to-14pc,"Business Russia cuts interest rate to 14pc Economists had broadly expected Friday’s move as the downturn gains pace due to the low international price of oil. Updated 14 Mar, 2015 10:24am"
2015-03-14,SBP changes FPT criterion for banks,Monetary Policy / Interest Rates,https://www.dawn.com/news/1169395/sbp-changes-fpt-criterion-for-banks,"Business SBP changes FPT criterion for banks Changes have been made to make the criterion more objective, says SBP. Updated 14 Mar, 2015 09:40am"
2015-03-14,Uptick in weekly inflation,Inflation / CPI,https://www.dawn.com/news/1169394/uptick-in-weekly-inflation,"Business Uptick in weekly inflation For the lowest income group up to Rs8,000, the SPI rose by 0.63pc, while for top income group it was up by 0.65pc. Updated 14 Mar, 2015 09:42am"
2015-03-14,"‘India, Pakistan draw closer as trading partners’",Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1169402/india-pakistan-draw-closer-as-trading-partners,"Business ‘India, Pakistan draw closer as trading partners’ Mr Raghavan said both countries need to focus on improving infrastructure and removing tariff and non-tariff barriers. Updated 14 Mar, 2015 09:31am"
2015-03-15,Demand for housing finance picking up,Monetary Policy / Interest Rates,https://www.dawn.com/news/1169645/demand-for-housing-finance-picking-up,"Business Demand for housing finance picking up Housing finance has been on the rise since 2008 and the falling interest rate will further boost its demand. Updated 15 Mar, 2015 10:19am"
2015-03-15,FPCCI voices concern over falling exports,Current Account / Trade,https://www.dawn.com/news/1169628/fpcci-voices-concern-over-falling-exports,"Business FPCCI voices concern over falling exports 'Fall in exports was not the failure of exporters, but an outcome of administrative measures and bureaucratic hurdles.' Updated 15 Mar, 2015 10:39am"
2015-03-15,Rate decision shows division at top of India’s central bank,Banking Sector,https://www.dawn.com/news/1169627/rate-decision-shows-division-at-top-of-indias-central-bank,"Business Rate decision shows division at top of India’s central bank Top officials in the Reserve Bank of India say they were surprised by Governor Raghuram Rajan’s decision to cut rates. Updated 15 Mar, 2015 10:31am"
2015-03-15,Regulator acts to strengthen net capital balance,Stock Market (Direct),https://www.dawn.com/news/1169641/regulator-acts-to-strengthen-net-capital-balance,"Business Regulator acts to strengthen net capital balance SECP called on 10 to 15 brokerage houses last fortnight to enforce the ‘Net Capital Balance’ regulation. Updated 15 Mar, 2015 10:29am"
2015-03-16,"Losing time, creeping panic",Political Stability / Government,https://www.dawn.com/news/1169761/losing-time-creeping-panic,"Business Losing time, creeping panic Power situation in the summer of 2017 would be one of the most critical factors in the next general elections. Updated 16 Mar, 2015 09:13am"
2015-03-16,Money Market: SBP injects Rs60.9bn into banks,Monetary Policy / Interest Rates,https://www.dawn.com/news/1169745/money-market-sbp-injects-rs609bn-into-banks,"Business Money Market: SBP injects Rs60.9bn into banks Investments of all commercial banks stood at Rs5559.574bn in the week ending February 27. Updated 16 Mar, 2015 09:39am"
2015-03-16,Rupee report: Rupee’s divergent trend,Currency / Exchange Rate,https://www.dawn.com/news/1169751/rupee-report-rupees-divergent-trend,"Business Rupee report: Rupee’s divergent trend Dollar depreciated by 10 paisas against the rupee in interbank dealings but appreciated by 40 paisas in the open market. Updated 16 Mar, 2015 09:16am"
2015-03-16,Tariff body gets a new charter,Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1169743/tariff-body-gets-a-new-charter,"Business Tariff body gets a new charter Under the amended trade remedy laws, NTC is expected to investigate unfair trade practices in an unhindered manner. Updated 16 Mar, 2015 08:27am"
2015-03-16,UBL’s geographical diversification,Banking Sector,https://www.dawn.com/news/1169752/ubls-geographical-diversification,"Business UBL’s geographical diversification ""The bank has increased its exposure to the GCC region on the asset side and taken overseas advances up by 8pc."" Updated 16 Mar, 2015 08:36am"
2015-03-17,"474-point plunge takes index below 32,500 barrier",Stock Market (Direct),https://www.dawn.com/news/1169975/474-point-plunge-takes-index-below-32500-barrier,"Business 474-point plunge takes index below 32,500 barrier KSE-100 Index presently hovering near 2014 year-end levels and almost all gains witnessed in 2015 have been wiped out. Updated 17 Mar, 2015 09:01am"
2015-03-17,NPLs of housing sector fall,Banking Sector,https://www.dawn.com/news/1169981/npls-of-housing-sector-fall,"Business NPLs of housing sector fall The non-performing loans of housing sector decreased from Rs15.93 billion (September 2014) to Rs15.51bn (December 2014). Updated 17 Mar, 2015 08:58am"
2015-03-17,PIA gets a fashionable makeover,Privatization / Divestment,https://www.dawn.com/news/1170140/pia-gets-a-fashionable-makeover,"Pakistan PIA gets a fashionable makeover Local designers like Maheen Khan, HSY, Khaadi competed to re-design PIA staff's uniforms and give the airline a facelift Updated 17 Mar, 2015 05:39pm"
2015-03-17,Price recovery not justified: Opec,Oil & Gas / Energy Sector,https://www.dawn.com/news/1169971/price-recovery-not-justified-opec,"World Price recovery not justified: Opec Oil prices recovery which began last month not justified by fundamentals as there remains a supply glut in the market. Updated 17 Mar, 2015 09:06am"
2015-03-17,Weak US factory data suggest softer economic growth,GDP / Economic Growth,https://www.dawn.com/news/1169963/weak-us-factory-data-suggest-softer-economic-growth,"Business Weak US factory data suggest softer economic growth Factory production slipped 0.2 per cent last month after declining 0.3pc in January, the Fed said on Monday. Updated 17 Mar, 2015 09:24am"
2015-03-18,Bank of Japan sees zero inflation,Inflation / CPI; Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1170230/bank-of-japan-sees-zero-inflation,"Business Bank of Japan sees zero inflation Tokyo’s economy-boosting campaign stumbled after the government raised sales taxes in 2014. Updated 18 Mar, 2015 09:35am"
2015-03-18,FDI rises 11pc to $615m in July-Feb,Foreign Investment / FPI,https://www.dawn.com/news/1170250/fdi-rises-11pc-to-615m-in-july-feb,"Business FDI rises 11pc to $615m in July-Feb Total FDI during July-Feb 2014-15 was $615 million compared to $553m in the same period of last year. Updated 18 Mar, 2015 08:26am"
2015-03-18,Falling exports worry Aptma,Currency / Exchange Rate; Current Account / Trade; Textile Sector,https://www.dawn.com/news/1170226/falling-exports-worry-aptma,"Business Falling exports worry Aptma Aptma Chairman says high cost of doing business and overvalued currency were hampering textile exports by and large. Updated 18 Mar, 2015 09:31am"
2015-03-18,IHC reinstates Ogra chairman,Oil & Gas / Energy Sector,https://www.dawn.com/news/1170278/ihc-reinstates-ogra-chairman,"Pakistan IHC reinstates Ogra chairman The court did not stop the FPSC from conducting an inquiry against Mr Saeed Ahmed Khan. Published 18 Mar, 2015 06:19am"
2015-03-18,IMF warns emerging economies to prepare for US rate rise,IMF / External Financing,https://www.dawn.com/news/1170236/imf-warns-emerging-economies-to-prepare-for-us-rate-rise,"Business IMF warns emerging economies to prepare for US rate rise IMF chief says the so-called “taper tantrum” that hit emerging economies hard in 2013 could be repeated. Updated 18 Mar, 2015 09:37am"
2015-03-18,Import duty on raw material raises cost of products,Fiscal Policy / Budget / Taxes; Current Account / Trade,https://www.dawn.com/news/1170248/import-duty-on-raw-material-raises-cost-of-products,"Business Import duty on raw material raises cost of products 5 to 15pc import regulatory duty has been imposed on a number of items used as raw material by local manufacturers. Updated 18 Mar, 2015 09:02am"
2015-03-18,Iran approves $297bn budget,Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1170239/iran-approves-297bn-budget,"Business Iran approves $297bn budget The final budget is around 8,500 trillion rials ($297 billion, 280bn euros) according to Tasnim news agency. Updated 18 Mar, 2015 10:00am"
2015-03-18,NAB asks FBR to curb tax evasion,Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1170249/nab-asks-fbr-to-curb-tax-evasion,"Business NAB asks FBR to curb tax evasion The recommendations were given on Tuesday by the NAB’s Prevention Committee on FBR in its first meeting. Updated 18 Mar, 2015 08:54am"
2015-03-18,Taxation protocol signed with Austria,Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1170247/taxation-protocol-signed-with-austria,"Business Taxation protocol signed with Austria The protocol will facilitate hassle-free exchange of information and help ensure transparency in tax related matters. Updated 18 Mar, 2015 09:11am"
2015-03-18,United States credibility at risk: Lew,IMF / External Financing,https://www.dawn.com/news/1170240/united-states-credibility-at-risk-lew,"Business United States credibility at risk: Lew For more than two years the US Congress has prevented the 2010 IMF reforms from taking effect. Updated 18 Mar, 2015 09:57am"
2015-03-19,OECD turns a bit more rosy on world economy,GDP / Economic Growth,https://www.dawn.com/news/1170454/oecd-turns-a-bit-more-rosy-on-world-economy,"Business OECD turns a bit more rosy on world economy A key international economic watchdog has nudged up its forecast for global economic growth this year. Updated 19 Mar, 2015 09:20am"
2015-03-19,SBP’s erroneous data published,Monetary Policy / Interest Rates; Foreign Investment / FPI,https://www.dawn.com/news/1170453/sbps-erroneous-data-published,"Business SBP’s erroneous data published SBP uploaded incorrect figures of FDI on its website on Tuesday (March 17), showing 11.3 per cent growth. Updated 19 Mar, 2015 08:26am"
2015-03-20,25pc duty on wheat imports: Outsourcing of key airports likely,Fiscal Policy / Budget / Taxes; Current Account / Trade,https://www.dawn.com/news/1170758/25pc-duty-on-wheat-imports-outsourcing-of-key-airports-likely,"Business 25pc duty on wheat imports: Outsourcing of key airports likely ECC lifted a ban on import of wheat products and instead imposed uniform 25pc regulatory duty on the import of wheat. Updated 20 Mar, 2015 09:21am"
2015-03-20,Current account posts $877m surplus in Feb,Current Account / Trade; Foreign Reserves,https://www.dawn.com/news/1170753/current-account-posts-877m-surplus-in-feb,"Business Current account posts $877m surplus in Feb Despite high inflows and better foreign exchange reserves, current account has been a source of concern for the govt. Updated 20 Mar, 2015 09:36am"
2015-03-20,Govt to open NBP branches in Azerbaijan,Banking Sector,https://www.dawn.com/news/1170754/govt-to-open-nbp-branches-in-azerbaijan,"Business Govt to open NBP branches in Azerbaijan The decision was made during President Mam-noon Hussain’s recent visit to Azerbaijan. Updated 20 Mar, 2015 09:41am"
2015-03-20,Opec has no choice but to keep output unchanged,Oil & Gas / Energy Sector,https://www.dawn.com/news/1170707/opec-has-no-choice-but-to-keep-output-unchanged,"Business Opec has no choice but to keep output unchanged Oil minister says there is no choice but to keep ceiling of production as it is to avoid losing market shares. Updated 20 Mar, 2015 10:04am"
2015-03-20,Reserves at $16.273bn,Monetary Policy / Interest Rates,https://www.dawn.com/news/1170750/reserves-at-16273bn,"Business Reserves at $16.273bn The SBP reserves decreased by $46 million to $11.226bn from $11.272bn. Updated 20 Mar, 2015 09:54am"
2015-03-20,SECP monitoring risks to stock markets,Stock Market (Direct),https://www.dawn.com/news/1170755/secp-monitoring-risks-to-stock-markets,"Business SECP monitoring risks to stock markets SECP Chairman says the market monitoring mechanism is much stronger now compared to what it was in the past. Updated 20 Mar, 2015 09:32am"
2015-03-20,Strong dollar a trouble for US,Currency / Exchange Rate,https://www.dawn.com/news/1170752/strong-dollar-a-trouble-for-us,"Business Strong dollar a trouble for US Analysts say the greenback’s sharp climb will only slightly slow the overall US economy. Updated 20 Mar, 2015 10:08am"
2015-03-21,Dollar hits Rs103 in open market,Currency / Exchange Rate,https://www.dawn.com/news/1170896/dollar-hits-rs103-in-open-market,"Business Dollar hits Rs103 in open market The greenback, which reached as high as Rs103 in the open market, settled at Rs102.60 at the end of the session. Updated 21 Mar, 2015 09:13am"
